mao'ban'fa	冇办法
ai'ni'ai'ni'ai'ni	爱你爱你爱你
ai'ni'ba	爱你吧
ai'ni'bao'bei	爱你宝贝
ai'ni'bu'bian	爱你不变
ai'ni'bu'jue'lei	爱你不觉累
ai'ni'dao'yong'yuan	爱你到永远
ai'ni'de	爱你的
ai'ni'fa'le'feng	爱你发了疯
ai'ni'ma'bi	爱你麻痹
ai'ni'me	爱你么
ai'ni'ne	爱你呢
ai'ni'o	爱你哦
ai'ni'sha'shi	爱你啥事
ai'ni'shi	爱你时
ai'ni'si	爱你死
ai'ni'wu'hui	爱你无悔
ai'ni'yi'bei'zi	爱你一辈子
ai'ni'yi'shi	爱你一世
ai'ni'yong'yuan	爱你永远
ai'ni'zai	爱你在
ai'ni'bai	爱你呗
ai'ni'you	爱你呦
ai'ni'da	爱你哒
ai'qing'ba	爱情吧
ai'qing'de'gu'shi	爱情的故事
ai'qing'fa'de'guang	爱情发的光
ai'qing'ge'qu	爱情歌曲
ai'qing'hao'wu'nai	爱情好无奈
ai'qing'jiang'lin	爱情降临
ai'qing'jiu'xiang	爱情就像
ai'qing'lai'de	爱情来得
ai'qing'lai'de	爱情来的
ai'qing'li	爱情里
ai'qing'ma'tou	爱情码头
ai'qing'ma	爱情吗
ai'qing'mei'jiu	爱情美酒
ai'qing'shang'bei	爱情伤悲
ai'qing'shang'le'ni	爱情伤了你
ai'qing'shang'le'ni'ai'qing'hai'le'wo	爱情伤了你爱情害了我
ai'qing'shang'le'ni'ai'qing'huan'le'wo	爱情伤了你爱情还了我
ai'qing'shen'ma'jia	爱情神马价
ai'qing'shi'ye	爱情事业
ai'qing'yi'jia'yi	爱情壹加壹
ai'qing'you'you	爱情悠悠
ai'qing'yuan'wu'qu	爱情圆舞曲
ai'qing'zhe'bei'jiu'shei'he'dou'dei'zui	爱情这杯酒谁喝都得醉
ai'qing'you'you'yao'cao'xiang	爱请悠悠药草香
ai'qu'na'qu'na	爱去哪去哪
ai're'nao	爱热闹
ai'ren'min	爱人民
ai'sha'sha	爱啥啥
ai'shang'bie'ren	爱上别人
ai'shang'cao'yuan	爱上草原
ai'shang'de	爱上的
ai'shang'huo	爱上火
ai'shang'ni'wo'sha'hu'hu	爱上你我傻乎乎
ai'shang'shei	爱上谁
ai'shang'ta'le	爱上他了
ai'shang'ta'le	爱上她了
ai'shen'zhi'ying	爱神之鹰
ai'shi'shang	爱时尚
ai'shi'bu'shi	爱是不是
ai'shi'jia'suo	爱是枷锁
ai'shou'shi	爱收拾
ai'shui'bu'shui	爱谁不睡
ai'shui'shui	爱谁谁
ai'shui'bu'shui	爱睡不睡
ai'shui'jue	爱睡觉
ai'shuo'ai'xiao	爱说爱笑
ai'shuo'bu'shuo	爱说不说
ai'si'kao	爱思考
ai'si'ni'la	爱死你啦
ai'si'ta	爱死他
ai'si'ta'le	爱死他了
ai'si'ta'le	爱死她了
ai'si'wo	爱死我
ai'si'zhu'shou	爱死助手
ai'ta'me	爱他么
ai'ta'men	爱他们
ai'ta'ma	爱她吗
ai'ta'men	爱她们
ai'tan'xian'de'duo'la	爱探险的多啦
ai'tiao'wu	爱跳舞
ai'ting'bu'ting	爱听不听
ai'wan'de	爱玩的
ai'wan'le	爱玩了
ai'wan'wan	爱玩玩
ai'wo'a	爱我啊
ai'wo'ai'wo	爱我爱我
ai'wo'bu	爱我不
ai'wo'ca	爱我擦
ai'wo'hao'ma	爱我好吗
ai'wo'jia	爱我家
ai'wo'jiu'ba'wo'lai'zhui'qiu	爱我就把我来追求
ai'wo'le	爱我了
ai'wo'me	爱我么
ai'wo'men	爱我们
ai'wo'ni'jiu'ba'wo'lai'zhui'qiu	爱我你就把我来追求
ai'wo'tian	爱我天
ai'wo'zi'ji	爱我自己
ai'wu'fan'gu	爱无返顾
ai'wu'yu	爱无语
ai'xiao'chu	爱消除
ai'xiao'de'ren	爱笑的人
ai'xie'bu'xie	爱写不写
ai'xin'de	爱心的
ai'xin'bu'xin	爱信不信
ai'xu'yao	爱需要
ai'xue'xiao	爱学校
ai'yi'chang	爱一场
ai'yi'gu	爱一股
ai'yi'ren	爱一人
ai'yi'wei	爱一位
ai'yi'zhi'cun'zai	爱一直存在
ai'yi'fu	爱衣服
ai'yi'qian	爱以前
ai'yi'wei	爱以为
ai'yi'o	爱意哦
ai'you'mei'you	爱有没有
ai'you'sha	爱有啥
ai'yun'dong	爱运动
ai'za'shuo'za'shuo	爱杂说杂说
ai'zai'ji'yi'zhong'zhao'ni	爱在记忆中找你
ai'za'di	爱咋地
ai'za'di'za'di	爱咋地咋地
ai'za'shuo'za'shuo	爱咋说咋说
ai'za'za	爱咋咋
ai'zhe'ge	爱这个
ai'zhen'de	爱真的
ai'zhe'wo	爱着我
ai'zi'pai	爱自拍
ai'zou'bu'zou	爱走不走
ai'zou'le	爱走了
ai'zui'da	爱最大
ai'zuo'meng	爱做梦
ai'lao'dao	爱唠叨
an'shan'de	鞍山的
an'an'jing'jing'de	安安静静的
an'bu'an'quan	安不安全
an'jian'bu'men	安监部门
an'pai'fa'huo	安排发货
an'pai'hao'le	安排好了
an'pai'hao'shi'jian	安排好时间
an'pai'yi'xia	安排一下
an'pai'zhuan'ren	安排专人
an'quan'chang'shi	安全常识
an'quan'dian	安全点
an'quan'guan'jia	安全管家
an'quan'jian'ce	安全监测
an'quan'jian'du	安全监督
an'quan'jian'ce	安全检测
an'quan'jiao'di	安全交底
an'quan'jiao'an	安全教案
an'quan'kong'jian	安全控件
an'quan'mi'ma	安全密码
an'quan'qi'jian	安全起见
an'quan'sheng'chan'xu'ke'zheng	安全生产许可正
an'quan'shi'yong	安全使用
an'quan'shi'jian	安全事件
an'quan'wen'ming	安全文明
an'quan'wu'an	安全午安
an'quan'xing'shi	安全形势
an'quan'yi'shi	安全意识
an'quan'zhong'xin	安全中心
an'wan'le	安完了
an'wei'an'wei	安慰安慰
an'xin'ba	安心吧
an'yi'de'hen	安逸得很
an'yi'o	安逸哦
an'zhi'an'liang	安置按量
an'zhi'xue'ji	安置学籍
an'zhuang'bu'liao	安装不了
an'zhuang'hao'le	安装好了
an'zhuang'kong'jian	安装空间
an'zhuang'kong'jian	安装控件
an'zhuang'shi'pin	安装视频
an'zhuang'wan'bi	安装完毕
an'zhuo'mo'ni'qi	安卓模拟器
an'ba'ba	俺爸爸
an'ba'ma	俺爸妈
an'bai'ni	俺拜你
an'ban'zhu'ren	俺班主任
an'bu'chi	俺不吃
an'bu'chu'lai	俺不出来
an'bu'dong	俺不懂
an'bu'guan	俺不管
an'bu'hao	俺不好
an'bu'hui	俺不会
an'bu'pa	俺不怕
an'bu'qu	俺不去
an'bu'xiang	俺不想
an'bu'hang	俺不行
an'bu'yao	俺不要
an'bu'zhi'dao	俺不知道
an'da'ye	俺大爷
an'da'yi	俺大姨
an'dan'wei	俺单位
an'dian'li	俺店里
an'dui'xiang	俺对象
an'hou'dao	俺厚道
an'hai'yao	俺还要
an'hai'you	俺还有
an'hui'jia	俺回家
an'hui'lai	俺回来
an'hui'qu	俺回去
an'jia'de	俺家的
an'jia'fang	俺家放
an'jia'li	俺家里
an'jia'you	俺家有
an'jiu'bu	俺就不
an'jiu'shi	俺就是
an'jiu'yao	俺就要
an'jue'de	俺觉得
an'kan'ni	俺看你
an'ke'bu'gan	俺可不敢
an'ke'shi	俺可是
an'ke'yi	俺可以
an'lai'le	俺来了
an'lao'biao	俺老表
an'lao'da	俺老大
an'lao'gong	俺老公
an'lao'jia	俺老家
an'lao'po	俺老婆
an'lao'tou	俺老头
an'lao'lao	俺姥姥
an'ling'dao	俺领导
an'ma'ma	俺妈妈
an'ma'ne	俺妈呢
an'mei'qian	俺没钱
an'mei'zi	俺妹子
an'men'ban	俺们班
an'nai'nai	俺奶奶
an'nai'shai	俺耐晒
an'nan'shou	俺难受
an'po'po	俺婆婆
an'qu'le	俺去了
an'san'ge	俺三个
an'sao'zi	俺嫂子
an'sha'ne	俺啥呢
an'shi'hao	俺是好
an'shui'jiao	俺睡觉
an'si'le	俺死了
an'su'she	俺宿舍
an'tong'xue	俺同学
an'tu'di	俺徒弟
an'xi'fu	俺媳妇
an'xia'le	俺下了
an'xiang'chi	俺想吃
an'xiang'ni'le	俺想你了
an'xiang'qu	俺想去
an'xiao'di	俺小弟
an'xin'li	俺心里
an'yao'qu	俺要去
an'ye'bu'hui	俺也不会
an'ye'hui	俺也会
an'ye'xiang	俺也想
an'ye'you	俺也有
an'yi'ge	俺一个
an'yi'hui	俺一会
an'yi'jia	俺一家
an'yi'jing	俺已经
an'yi'hou	俺以后
an'yi'qian	俺以前
an'yuan'yi	俺愿意
an'zha'pian	俺诈骗
an'zhe'li	俺这里
an'zhi'dao	俺知道
an'zi'ji	俺自己
an'zou'le	俺走了
an'an'mo	按按摩
an'bu'chu	按不出
an'bu'chu'lai	按不出来
an'bu'dao	按不到
an'bu'dong	按不动
an'bu'kai	按不开
an'bu'liao	按不了
an'bu'qi	按不起
an'bu'qu	按不去
an'bu'xia	按不下
an'bu'zhu	按不住
an'bu'men	按部门
an'chang'li	按常理
an'cheng'xu	按程序
an'chu'lai	按出来
an'cuo'ji'neng	按错技能
an'cuo'la	按错啦
an'da'yi	按大一
an'dao'de	按到的
an'dao'li'shuo	按道理说
an'de'ma	按的吗
an'di'zhi	按地址
an'dian'hua	按电话
an'dian'shi	按电视
an'ding'dan	按订单
an'duo'le	按多了
an'ge'mo	按个摩
an'guan'li	按惯例
an'hai'zi	按孩子
an'ji'xia	按几下
an'ji'du	按季度
an'jian'kong	按监控
an'jian'de	按键的
an'jie'kuan	按揭款
an'jin'du	按进度
an'jin'jia	按进价
an'kuai'le	按快了
an'liang'xia	按两下
an'le'ge	按了个
an'le'ma	按了吗
an'ling'dao	按领导
an'mei'shuo	按没说
an'mo'an'mo	按摩按摩
an'mo'de	按摩的
an'mo'le	按摩了
an'mu'qian	按目前
an'na'ge'jian	按哪个键
an'na'li	按哪里
an'na'ge'jian	按那个键
an'ni'de	按你的
an'ni'shuo	按你说
an'ping'fang	按平方
an'qu'le	按去了
an'qu'nian	按去年
an'ren'shu	按人数
an'shang'mian	按上面
an'shang'qu	按上去
an'sheng'ka	按声卡
an'shi'an'liang	按时按量
an'shi'chi'fan	按时吃饭
an'shi'dao	按时到
an'shi'hou	按时候
an'shi'jiao	按时交
an'shou'ji	按手机
an'shu'xing	按属性
an'si'le	按死了
an'tao'lu	按套路
an'ti'shi	按提示
an'tian'suan	按天算
an'tu'shi'gong	按图施工
an'tu'di	按土地
an'wan'liao	按完了
an'wang'xian	按网线
an'wen'jian	按文件
an'wo'de	按我的
an'xia'le	按下了
an'xia'lie	按下列
an'xia'qu	按下去
an'xiao'xi	按消息
an'xiao'shi	按小时
an'xu'yao	按需要
an'xue'hao	按学号
an'yi'hui	按一会
an'yi'fu	按衣服
an'yi'qian	按以前
an'you'xi	按游戏
an'you'jian	按右键
an'yuan'jia	按原价
an'yuan'lai	按原来
an'yue'ding	按约定
an'zha'pian	按诈骗
an'zhao'pian	按照片
an'zhao'zi'ji	按照自己
an'zhe'bian	按这边
an'zhe'yang	按这样
an'zhi'qian	按之前
an'zhi'shi	按指示
an'zhi'du	按制度
an'zhi'an'liang	按质按量
an'zhong'liang	按重量
an'zhu'ren	按住人
an'zi'ji'de	按自己的
an'an'a	暗暗啊
an'cuo'cuo	暗搓搓
an'dan'de	暗淡的
an'hei'sheng'zhan	暗黑圣战
an'li'zhe'mi	暗里着谜
an'lian'ta	暗恋他
an'lian'ta	暗恋她
an'lian'zhe	暗恋着
an'ma'ne	暗骂呢
an'sha'ne	暗杀呢
an'sha'hang	暗杀行
an'shi'de	暗示的
an'shi'hao	暗示好
an'shi'le	暗示了
an'shi'ni	暗示你
an'shu'xing	暗属性
an'xia'lai	暗下来
an'ye'nan	暗夜男
an'yi'dian	暗一点
an'yi'xie	暗一些
an'ying'ge'dou	暗影格斗
an'zhi'xue'ji	暗之血迹
an'chang'de	案场的
an'li'ba	案例吧
an'li'san	案例三
an'li'yi	案例一
an'qing'de	案情的
ang'shou'guan'zhi	昂首观之
ao'jin'qu	凹进去
ao'xia'qu	凹下去
ao'zhe'wei'he	凹者为壑
ao'bao'xiang'lian	敖包相连
ao'bao'zai'xiang'hui	敖包再相会
ao'bu'dao	熬不到
ao'bu'guo	熬不过
ao'bu'liao	熬不了
ao'chu'lai	熬出来
ao'guo'lai	熬过来
ao'guo'le	熬过了
ao'hao'de	熬好的
ao'ji'nian	熬几年
ao'ji'tian	熬几天
ao'si'le	熬死了
ao'xi'fan	熬稀饭
ao'xia'qu	熬下去
ao'ye'ao'de	熬夜熬得
ao'ye'de	熬夜的
ao'ye'le	熬夜了
ao'yi'xia	熬一下
ao'yi'ye	熬一夜
ao'jiao'le	傲娇了
ao'shi'xi'you	傲世西游
ao'shi'ma	傲视吗
ao'men'feng'yun	澳门风云
ba'ku'zi	扒裤子
ba'la'ba'la	扒拉扒拉
pa'le'ni	扒了你
ba'bai'ci	八百次
ba'bai'duo	八百多
ba'bai'ge	八百个
ba'bai'kuai	八百块
ba'bai'mi	八百米
ba'bai'nian'qian	八百年前
ba'bai'wu	八百五
ba'bai'yuan	八百元
ba'bao'jie	八宝街
ba'bao'mi	八宝米
ba'cheng'shi	八成是
ba'dian'ba	八点吧
ba'dian'dao	八点到
ba'dian'de	八点的
ba'dian'guo	八点过
ba'dian'le	八点了
ba'dian'qi	八点起
ba'dian'qu	八点去
ba'fang'gei'wo	八方给我
ba'fen'ku	八分裤
ba'fen'zhi	八分之
ba'fen'zhong	八分钟
ba'ga'ya'lu	八嘎牙路
ba'ge'ban	八个班
ba'ge'ban	八个半
ba'ge'dian	八个点
ba'ge'hao	八个好
ba'ge'hao	八个号
ba'ge'xiao'shi	八个小时
ba'ge'zan	八个赞
ba'ge'zhong	八个钟
ba'hao'lou	八号楼
ba'ji'nian	八几年
ba'jiao'ta	八角塔
ba'jiu'qian	八九千
ba'jiu'sui	八九岁
ba'jiu'tian	八九天
ba'jiu'wan	八九万
ba'jiu'yue'fen	八九月份
ba'ju'hua	八句话
ba'kuai'qian	八块钱
ba'li'si'yi	八里肆意
ba'lian'sheng	八连胜
ba'mao'qian	八毛钱
ba'men'dun'jia	八门遁甲
ba'mian'tong	八面通
ba'nian'ji'de	八年级的
ba'nian'ji'shang'ce	八年级上册
ba'nian'le	八年了
ba'nian'zhi'jiu	八年之久
ba'qian'ba	八千八
ba'qian'duo	八千多
ba'qian'li	八千里
ba'qian'wu	八千五
ba'qian'yuan	八千元
ba'qian'zi	八千字
ba'ren'jian	八人间
ba'shi'duo'tian	八十多天
ba'shi'ge	八十个
ba'shi'jin	八十斤
ba'shi'le	八十了
ba'shi'nian	八十年
ba'tian'le	八天了
ba'wan'ba	八万八
ba'wan'duo	八万多
ba'wei'shu	八位数
ba'xiang'gui'ding	八项规定
ba'yi'xia	八一下
ba'zi'huan	八字换
ba'zi'qiang	八字墙
ba'zi'tou	八字头
ba'gua'de	八卦的
ba'gua'duan'dai	八卦缎带
ba'gua'pai	八卦牌
ba'bu'chu	拔不出
ba'bu'dong	拔不动
ba'chu'lai'le	拔出来了
ba'dao'zhan	拔刀斩
ba'dian'chi	拔电池
ba'diao'le	拔掉了
ba'hu'ya	拔虎牙
ba'si'di'gua	拔丝地瓜
ba'wan'ya	拔完牙
ba'wang'xian	拔网线
ba'xia'lai'le	拔下来了
ba'xia'lu	拔下路
ba'yi'xia	拔一下
ba'ba'mai	把把脉
ba'ba'shu	把把输
ba'ban'gong'shi	把办公室
ba'bei'zi	把被子
ba'bie'de	把别的
ba'bu'ba	把不把
ba'bu'dao	把不到
ba'cheng'shi	把城市
ba'chi'de	把持的
ba'chi'bang	把翅膀
ba'da'hao	把大好
ba'dai'ni	把带你
ba'dan'hao	把单号
ba'ding'dan	把订单
ba'dui'zhang'gei'wo	把队长给我
ba'dui'mian	把对面
ba'er'ban	把二班
ba'fang'gei'wo	把房给我
ba'fang'zi	把房子
ba'ge'ge	把哥哥
ba'ge'chang	把歌唱
ba'ge'guan'le	把个关了
ba'ge'zhong	把各种
ba'gei'ni	把给你
ba'gong'shi	把公式
ba'guan'li	把管理
ba'hao'ba	把好吧
ba'hao'de	把好的
ba'hao'gei'wo	把好给我
ba'hao'guan	把好关
ba'hao'fa'guo'lai	把号发过来
ba'hua'shuo'wan	把话说完
ba'hui'zhang	把徽章
ba'ji'dan	把鸡蛋
ba'ji'lu	把记录
ba'jia'hai	把家还
ba'jia'zhao	把驾照
ba'jian'pan	把键盘
ba'jie'tu	把截图
ba'jin'tian	把今天
ba'jiu'qian	把酒前
ba'kuai'di	把快递
ba'lao'gong	把老公
ba'li'mian'di	把里面的
ba'li'mian'di	把里面滴
ba'lian'jie	把链接
ba'liang'ge	把两个
ba'liao'tian'ji'lu	把聊天记录
ba'ling'tou	把零头
ba'luo'bu	把罗布
ba'mei'nv	把美女
ba'men'shen'qi	把门神奇
ba'ming'dou'gei'ni	把命都给你
ba'ming'dou'gei'ni'le	把命都给你了
ba'na'fen	把那份
ba'na'ge'ren	把那个人
ba'na'liang'ge	把那两个
ba'na'tian	把那天
ba'nan'de	把男的
ba'nao'dai	把脑袋
ba'ni'ba	把你爸
ba'ni'chi'le	把你吃了
ba'ni'di'di	把你弟弟
ba'ni'dian'hua	把你电话
ba'ni'die	把你爹
ba'ni'he	把你和
ba'ni'keng'le	把你坑了
ba'ni'la	把你拉
ba'ni'lao'gong	把你老公
ba'ni'lao'po	把你老婆
ba'ni'ma'ma	把你妈妈
ba'ni'mai	把你埋
ba'ni'mai'le	把你买了
ba'ni'mai	把你卖
ba'ni'mai'le	把你卖了
ba'ni'mei'de	把你美得
ba'ni'mei'di	把你美的
ba'ni'mei	把你妹
ba'ni'pi	把你皮
ba'ni'qian	把你牵
ba'ni'shan	把你删
ba'ni'shan'le	把你删了
ba'ni'shuo'de	把你说的
ba'ni'ti	把你踢
ba'ni'wang'le	把你忘了
ba'ni'xia	把你吓
ba'ni'xia'de	把你吓得
ba'ni'xian'zai	把你现在
ba'ni'zhao'pian	把你照片
ba'ni'zhe	把你这
ba'ni'zi'ji	把你自己
ba'ni'zui	把你嘴
ba'peng'you	把朋友
ba'pi'gu	把屁股
ba'qi'ta'de	把其他的
ba'qian'gei	把钱给
ba'qian'gei'ni	把钱给你
ba'qun'li	把群里
ba'ren'jia	把人家
ba'sao'zi	把嫂子
ba'shang'ci	把上次
ba'sheng'xia'de	把剩下的
ba'shu'biao	把鼠标
ba'ta'da'si	把他打死
ba'ta'gei	把他给
ba'ta'hao'gei'wo	把他号给我
ba'ta'jia	把他家
ba'ta'jiao'lai	把他叫来
ba'ta'la	把他拉
ba'ta'la'hei	把他拉黑
ba'ta'sha'le	把他杀了
ba'ta'shan	把他删
ba'ta'shan'le	把他删了
ba'ta'ti'chu'qu	把他踢出去
ba'ta'ti'le	把他踢了
ba'ta'wang'le	把他忘了
ba'ta'gei	把它给
ba'ta'shan'le	把它删了
ba'wan'ba	把玩吧
ba'wang'ye	把网页
ba'wo'de'hao	把我的号
ba'wo'de'hua	把我的话
ba'wo'dian'nao	把我电脑
ba'wo'gei	把我给
ba'wo'ji'de	把我急的
ba'wo'jia	把我加
ba'wo'kan'de	把我看的
ba'wo'la'hei	把我拉黑
ba'wo'mai'le	把我买了
ba'wo'mai'le'ba	把我买了吧
ba'wo'mai'le	把我卖了
ba'wo'mai'le'ba	把我卖了吧
ba'wo'nong'de	把我弄得
ba'wo'qi'de	把我气得
ba'wo'sha	把我杀
ba'wo'sha'le	把我杀了
ba'wo'shan'le	把我删了
ba'wo'shuo	把我说
ba'wo'ti'le	把我踢了
ba'wo'wang	把我忘
ba'wo'wang'le	把我忘了
ba'wo'xi'fu	把我媳妇
ba'wo'xia'de	把我吓得
ba'wo'xiang'de	把我想得
ba'wo'xiang'de	把我想的
ba'wo'ye	把我也
ba'wo'yi'ge'ren	把我一个人
ba'wo'yi'fu	把我衣服
ba'wo'zhao'pian	把我照片
ba'wo'zi'ji	把我自己
ba'wo'bu'hao	把握不好
ba'wo'da	把握大
ba'wo'ma	把握吗
ba'wo'o	把握哦
ba'wo'shi'jian	把握时间
ba'wo'xian'zai	把握现在
ba'wo'zhe	把握着
ba'wo'zi'ji	把握自己
ba'xi'wang	把希望
ba'xia'mian	把下面
ba'xiao'xi	把消息
ba'xie'zi	把鞋子
ba'yan'se	把颜色
ba'yan'jing	把眼镜
ba'yi'duan	把一段
ba'yi'gen'chang	把一根长
ba'yi'qian	把以前
ba'yin'yue	把音乐
ba'ying'xiong	把英雄
ba'you'xi	把游戏
ba'yu'yin	把语音
ba'yuan'lai	把原来
ba'yao'shi	把钥匙
ba'za'jia	把咱家
ba'zan'men	把咱们
ba'zhang'hao	把帐号
ba'zhe'ci	把这次
ba'zhe'jian	把这件
ba'zhe'li	把这里
ba'zhe'shi	把这事
ba'zhe'zhang	把这张
ba'zhong'lu	把中路
ba'zhu'zi	把珠子
ba'zi'jin	把资金
ba'zi'ji'de	把自己的
ba'dao'a	霸道啊
ba'dao'ge	霸道哥
ba'dao'le	霸道了
ba'qi'a	霸气啊
ba'qi'ba	霸气吧
ba'qi'de	霸气的
ba'qi'dian	霸气点
ba'qi'hui'dang	霸气回荡
ba'qi'le	霸气了
ba'qi'ma	霸气吗
ba'qi'wai'lou	霸气外漏
ba'wang'ji	霸王机
ba'gong'le	罢工了
ba'liao'ba	罢了吧
ba'liao'ba'liao	罢了罢了
ba'ba'hao	爸爸好
ba'ba'he'ma'ma	爸爸和妈妈
ba'ba'ma'ma'ting'wo'shuo	爸爸妈妈听我说
ba'ba'na	爸爸那
ba'ba'ne	爸爸呢
ba'ba'qu'na	爸爸去哪
ba'ba'qu'na'er	爸爸去哪儿
ba'ba'qu'na'er'le	爸爸去哪儿了
ba'ba'qu'na'li	爸爸去哪里
ba'ba'qu'na'le	爸爸去哪了
ba'ba'qu'na'da'dian'ying	爸爸去那大电影
ba'ba'qu'na'li	爸爸去那里
ba'ba'qun	爸爸群
ba'ba're'bo	爸爸热播
