nijiba 你几把
putonghuashi 普通话是
natianniba 那天你把
gongzuoxingshi 工作形式
suanjishu 算技术
ganzhejiu 干着就
gaoshushi 高数是
daiyixiaoshi 待一小时
caibuchou 才不丑
wobushuoma 我不说吗
burangza 不让砸
zaimeiyoushi 在没有时
wunianwuban 五年舞伴
malixiao 马力小
woyaner 我研二
chidese 吃的涩
lijiaode 礼教的
shinanban 是难办
womeishazhu 我没刹住
nishichengde 你是撑的
dianjiaozhangwang 踮脚张望
hunjiajin 婚假紧
mijiande 迷奸的
buyaoqingyide 不要轻易地
hushiqi 忽视其
kenanhe 可难喝
yijizhiming 一击致命
gongsizhizhao 公司只招
youfaqian 又发钱
ranhounimei 然后你没
yihuodao 疑惑到
bubuxialai 补不下来
nizaibushuijiao 你再不睡觉
wonianren 我黏人
nidemeiren 你的美人
baoxiaoshijian 爆笑事件
yishangjian 以上件
rangbune 让步呢
liaoliaosha 聊聊啥
nirangcao 你让操
tabudi 他不敌
woshixiaoma 我是小吗
xinshitong 心是痛
danglaladui 当啦啦队
haihuoqi 还活期
gongzilaile 工资来了
wangguoma 亡国吗
jiaoshuji 叫书记
hekafeiba 喝咖啡吧
buhuapo 不划破
geinidingle 给你定了
baihuoba 百货吧
yixinsiyong 一心四用
xixijue 细细嚼
shadoukao 啥都靠
suotoule 缩头了
youdadianhuagei 有打电话给
paidoupaile 拍都拍了
tingduanxin 听短信
wohencongmingdi 我很聪明滴
jinnianfazhan 今年发展
kexuexingqu 科学兴趣
chaobuchaoti 抄不抄题
kanbujianyu 看不见鱼
nengbisha 能必杀
zizhibiao 资质表
shigetang 十个糖
xiwanwei 洗完胃
nimanghuaile 你忙坏了
qiangshichi 抢食吃
dazhiqiu 打直球
daxiangduo 大象多
miandezhaoliang 免得着凉
xindongjiao 心动叫
xiahuichang 下回唱
lianlianpeng 连连碰
letaoba 乐淘吧
jiaowunianji 教五年级
jinkouxiang 进口箱
gaodimeile 高地没了
jiaonagei 缴纳给
jiushipipi 就是屁屁
dacujiba 大粗鸡巴
wodaodaole 我叨叨了
jushouwan 巨兽碗
tuofayanzhong 脱发严重
zhongguojianzhushi 中国建筑史
meinvpizi 美女坯子
shangkeyiyuan 伤科医院
roufushuang 柔肤霜
nibiebuzhule 你憋不住了
babushuyu 把不属于
shuiyingdeng 水影灯
yilaomei 一老美
wangdaishi 网带式
mingminglaoshi 明明老是
weishenmefengle 为什么疯了
doubugeiwochong 都不给我充
kubiantian 苦变甜
huimengren 会蒙人
shitantu 是贪图
xiyanshangfei 吸烟伤肺
huqihuluo 忽起忽落
tiaoqingshengshou 调情圣手
qutoushuijing 去偷水晶
zhexinsuan 这心酸
dangchengji 当成绩
niyouxijiao 你游戏叫
taomeixie 淘美鞋
sanggehua 桑格花
jiujingbuzhu 就经不住
danjiyiyang 单机一样
beijingzaishuo 北京再说
xianzhangge 先长个
zuonihuaili 坐你怀里
wodanfa 我单发
kawaiwai 卡歪歪
taliandao 他练到
zainatiaode 在哪跳的
wadicao 挖地槽
wohuifangle 我回房了
jianhaofei 减好肥
nimenyoumo 你们幽默
shashenmi 啥神秘
zhuangshixiang 装饰箱
shiliangsheng 是两声
woyoulinghu 我有灵狐
woqingshini 我轻视你
xiedeshishi 血的事实
woshixiaomu 我是小木
bannianbing 半年并
suoyihaozi 所以耗子
bujianyida 不建议打
shenglizhou 生理周
jiezhangtai 结账台
shushiyougende 树是有根的
shuinipiao 水泥票
chouqizhao 抽气罩
wulidenghuaile 屋里灯坏了
biezhengnasichu 别整那死出
neishazhong 内杀忠
taitamahenle 太他妈狠了
shouyuelaiyue 手越来越
jiangshinayou 僵尸哪有
bianchangbi 边长比
changshieryi 尝试而已
nimeihuiguojia 你没回过家
nigaibugaima 你该不该骂
nicaishashi 你猜啥事
womenxiazhuang 我们夏装
mianquyoufei 免去邮费
wogangtiwan 我刚踢完
pengqianchang 捧钱场
yebuzenmehua 也不怎么花
gangfuyong 刚服用
meirilizan 每日礼赞
zaihejibei 再喝几杯
butaibuwen 步态不稳
hezuopian 合作篇
tongxuexiangqin 同学相亲
guantajiaosha 管他叫啥
zhihaozaishuo 只好再说
hentoulewo 恨透了我
zhihuiding 只会顶
huifuduole 回复多了
tiankongan 天空暗
youdaqitong 有打气筒
dishuixing 滴水型
gujilaibule 估计来补了
huanzhebao 换着抱
womenjintianhe 我们今天和
tianrangjiehuo 天壤劫火
geinixiaoxie 给你小鞋
jingwenshige 经文诗歌
bukenengwanle 不可能晚了
jintianjiake 今天夹克
jiushifabuliao 就是发不了
daolibudaoli 道理不道理
youshiguma 有事故吗
hudieshuangfei 蝴蝶双飞
doudazhangle 都打仗了
jiudianhuiyuan 酒店会员
beifengna 北风那
xiangzajiao 想咋叫
wobuxianghede 我不想喝的
liaduiyou 俩队友
qudingban 去顶班
huanyouliangnian 患有两年
haiyouhenduowo 还有很多喔
nanhaidamaoxian 南海大冒险
doufukai 豆腐开
buxihuanchong 不喜欢冲
shaodaocao 烧稻草
xiashenna 下身那
yuansonghuofei 原送货费
yechuishi 野炊时
koujiukoule 扣就扣了
tudoukong 土豆控
yizhichouwo 一直瞅我
yibaoguiding 医保规定
wozhenchouni 我真抽你
ruguozhishuo 如果直说
youyixiaodao 有一小岛
shejilianghao 设计良好
quanbaoxiang 全宝箱
qihoufenbu 气候分布
yidiandandang 一点担当
guoyishengba 过一生吧
dangxiaoshun 当孝顺
banhunbansu 半荤半素
wozaijiabajin 我再加把劲
tiancailei 甜菜类
woshangbudong 我上不动
diaolingdehua 凋零的花
zabazui 砸吧嘴
yaoshihaogan 要是好干
kaitoukongliangge 开头空两格
bugeihaopai 不给好牌
dajiakanfangming 大家看房名
qingqingdeshan 青青的山
lianbizide 连笔字的
fengjianshixi 封建世袭
daozhuangxinpian 倒装芯片
renyidaozhongnian 人一到中年
zhaopianziba 找骗子吧
huojiahuogui 货架货柜
jieshidexiongtang 结实的胸膛
danshentianshi 单身天使
zhuyixianghu 注意相互
zhanjugaochu 占据高处
deguojingshenbing 得过精神病
xiangyahuashi 象牙化石
youmeikanzhu 又没看住
toukuisuo 头盔锁
liangjiechumian 两接触面
genwobihen 跟我比狠
nibiezaixin 你别再信
jijiyanzhi 积极研制
niyaobushen 你要补肾
zuotiantakule 昨天她哭了
buguanzanshashi 不关咱啥事
douchehuilaile 都撤回来了
doushuizhunbei 都谁准备
douhuaman 都画满
meibeidaide 没背带的
pianzhanger 篇章二
wogaizhangzui 我该掌嘴
nengxiaoqide 能消气的
tageshini 他哥是你
shieryuege 十二月歌
huxinxiaodao 湖心小岛
xingyunzhizhan 星云之战
piaowudetoufa 飘舞的头发
jianbituhua 简笔图画
daotianyangxie 稻田养蟹
niyuehewoshuo 你越和我说
sishoudaoyongyuan 厮守到永远
woershijiuhui 我儿时就会
qishibutan 其实不贪
zaichezhanting 在车站停
meijinghuazhongyou 美景画中游
jidangzhihuiyuan 既当指挥员
nashigedama 那是个大妈
luanshoufeibei 乱收费被
busuanfanta 不算烦她
yifensilian 一份思恋
shumaxiufuban 数码修复版
shengshiyangge 盛世秧歌
fengmeibifan 逢美必反
diaodongzhiwei 调动职位
deidoudouni 得逗逗你
shishenmerenzhong 是什么人种
yanyuelaiyueda 烟越来越大
gouyizhoude 够一周的
tabutongyifen 他不同意分
xianxingxingwei 先行行为
canruoyinghua 灿若樱花
yiyadaodi 一压到底
hegechengpin 合格成品
bizuibiezai 闭嘴别再
qianhenduozhai 欠很多债
gengquanxie 更全些
ruzhongnian 入中年
jiaoguodemantou 嚼过的馒头
tixianchengyi 体现诚意
doushixibuhao 都是洗不好
shuyedebianhua 树叶的变化
zaimeishengji 再没升级
wonenggeiniyao 我能给你要
yunfutiwen 孕妇体温
shuyeyici 输液一次
nizijizasi 你自己砸死
nianjibiaozhang 年级表彰
shidiyaokuma 是低腰裤吗
dangyouhaozhao 党有号召
liaolijiashi 料理家事
tiqiannvyou 替前女友
kuanshiyouhao 款式又好
wobabamingzi 我爸爸名字
shangxiaobanba 上小班吧
benlaimeiwoshi 本来没我事
woliajiang 我俩将
zhaopianmeihuaqi 照片美化器
xiankuerhoutian 先苦而后甜
woshuobuliaohuang 我说不了谎
yifangzhizhu 一方之主
wenyimingxing 文艺明星
fangshazhishafa 防沙治沙法
monizhuce 模拟注册
quxianwanma 去西安玩吗
maideruanwo 买的软卧
chutangshige 初唐诗歌
youqingzhufuyu 友情祝福语
dangzuoxiaoshuo 当做小说
